token,age_hours,market_cap,liquidity_usd,volume_24h,holders,is_moonshot,chain,entry_price,current_price,top_10_holding_pct,dev_holding_pct,tx_velocity_1m,has_socials,funded_from_cex,label,holder_concentration,velocity_per_holder,dev_to_top10_ratio
dogwifhat (WIF),0,50000.0,15000.0,5000.0,50,True,solana,1e-05,5e-05,19.9816047538945,1.6269984907963386,81.02541147466044,1,1,1,0.3917961716449902,98.03921568627452,0.08142481601222769
dogwifhat (WIF),1,120000.0,30000.0,45000.0,150,True,solana,1e-05,0.00012,43.02857225639664,3.732457025590121,54.85979790361515,0,0,1,0.28495743216156716,298.0132450331126,0.0867436875028664
dogwifhat (WIF),6,80000.0,25000.0,120000.0,400,True,solana,1e-05,8e-05,34.279757672456206,3.2481644952360735,17.82282592786813,1,0,1,0.08548567998118754,299.25187032418955,0.09475459325522655
dogwifhat (WIF),24,500000.0,100000.0,800000.0,1500,True,solana,1e-05,0.0005,28.946339367881464,4.24611705247089,58.3395887636693,1,0,1,0.019284703109847746,532.9780146568954,0.14668925829825807
dogwifhat (WIF),48,2500000.0,400000.0,3000000.0,5000,True,solana,1e-05,0.0025,11.24074561769746,3.2880644615017167,62.815700621879124,1,0,1,0.0022476995836227674,599.880023995201,0.2925130212031901
dogwifhat (WIF),168,15000000.0,2000000.0,15000000.0,25000,True,solana,1e-05,0.015,11.239780813448107,2.841543016677358,77.0895526765897,1,0,1,0.00044957324960793994,599.9760009599617,0.2528112481539421
book of meme (BOME),0,100000.0,40000.0,20000.0,200,True,solana,1e-05,0.0001,7.323344486727978,0.4683738391404624,48.84935916067114,1,0,1,0.03643454968521382,99.50248756218906,0.06395627570508737
book of meme (BOME),1,1500000.0,300000.0,2000000.0,2000,True,solana,1e-05,0.0015,39.647045830997406,1.8385790152971677,21.48222725160074,0,1,1,0.01981361610744498,999.5002498750624,0.0463736698842094
book of meme (BOME),6,8000000.0,1000000.0,15000000.0,10000,True,solana,1e-05,0.008,29.04460046972835,1.3260118384086272,35.539831521885205,1,0,1,0.002904169630009834,1499.8500149985002,0.045654332196616194
book of meme (BOME),24,25000000.0,3000000.0,40000000.0,30000,True,solana,1e-05,0.025,33.32290311184182,1.2199482168954179,42.67740667587716,1,1,1,0.0011107264128476324,1333.288890370321,0.03660990198735957
book of meme (BOME),48,40000000.0,5000000.0,60000000.0,45000,True,solana,1e-05,0.04,5.823379771832098,4.865052773762228,68.13255171984412,1,0,1,0.0001294055636948534,1333.3037043621252,0.8354345695362738
myro (MYRO),0,30000.0,10000.0,2000.0,30,True,solana,1e-05,3.0000000000000004e-05,43.79639408647977,1.965488623333802,61.37004742020207,1,0,1,1.4127869060154765,64.51612903225806,0.04487786413209948
